m 30 n 7
1.05	0	1.3853	-0.0258	0	0	2
1.0338	-0.047776643	0.5756	0.0243	0.217	0.127	1
1.0309	-0.081545273	0	0	0.024	0.012	0
1.0258	-0.097673861	0	0	0.076	0.016	0
1.0058	-0.157088359	0.2456	0.2225	0.942	0.19	1
1.0214	-0.113133987	0	0	0	0	0
1.0073	-0.140385558	0	0	0.228	0.109	0
1.023	-0.113209037	0.35	0.3227	0.3	0.3	1
1.0583	-0.142258297	0	0	0	0	0
1.0527	-0.174683024	0	0	0.058	0.02	0
1.0913	-0.109960979	0.1793	0.1761	0	0	1
1.0564	-0.160596471	0	0	0.112	0.075	0
1.0883	-0.140003331	0.1691	0.2496	0	0	1
1.0428	-0.17625382	0	0	0.062	0.016	0
1.0393	-0.178393594	0	0	0.082	0.025	0
1.0476	-0.17140355	0	0	0.035	0.018	0
1.0459	-0.177321961	0	0	0.09	0.058	0
1.0319	-0.189127368	0	0	0.032	0.009	0
1.0307	-0.192176459	0	0	0.095	0.034	0
1.0354	-0.188806228	0	0	0.022	0.007	0
1.0404	-0.182680122	0	0	0.175	0.112	0
1.0409	-0.182557949	0	0	0	0	0
1.0314	-0.186160309	0	0	0.032	0.016	0
1.0292	-0.190518396	0	0	0.087	0.067	0
1.0298	-0.188558391	0	0	0	0	0
1.0124	-0.19568108	0	0	0.035	0.023	0
1.0388	-0.182842438	0	0	0	0	0
1.0177	-0.120349179	0	0	0	0	0
1.0192	-0.203660725	0	0	0.024	0.009	0
1.008	-0.218588526	0	0	0.106	0.019	0
